日期,1-1000,1001-2000,2001-3000,3001-4000,4001-5000,5001-6000
4/22,122.67,121.21,120.34,119.38,118.29,117.13
4/23,122.84,121.42,120.63,119.84,118.88,117.92
4/24,122.96,121.67,120.8,120.09,119.26,118.46
4/25,123.01,121.75,120.88,120.17,119.46,118.67
*4/26,123.04,121.79,120.92,120.25,119.51,118.75
*4/27,123.05,121.8,120.92,120.29,119.58,118.84
4/28,123.12,121.92,121.0,120.38,119.75,119.05
4/29,123.16,121.97,121.05,120.46,119.88,119.25
4/30,123.17,122.04,121.09,120.54,119.97,119.38
5/1,123.21,122.08,121.13,120.58,120.01,119.46
*5/2,123.21,122.09,121.17,120.59,120.04,119.47
*5/3,123.21,122.09,121.17,120.59,120.05,119.5
*5/4,123.21,122.09,121.17,120.63,120.05,119.5
*5/5,123.21,122.09,121.17,120.63,120.05,119.5
*5/6,123.22,122.09,121.17,120.63,120.05,119.51
5/7,123.25,122.13,121.21,120.67,120.13,119.59
5/8,123.26,122.17,121.22,120.71,120.17,119.67
