日期,1-1000,1001-2000,2001-3000,3001-4000,4001-5000,5001-6000
04/22,122.67,121.21,120.34,119.38,118.29,117.13
04/23,122.84,121.42,120.63,119.84,118.88,117.92
04/24,122.96,121.67,120.80,120.09,119.26,118.46
04/25,123.01,121.75,120.88,120.17,119.46,118.67
*4/26,123.04,121.79,120.92,120.25,119.51,118.75
*4/27,123.05,121.80,120.92,120.29,119.58,118.84
04/28,123.12,121.92,121.00,120.38,119.75,119.05
04/29,123.16,121.97,121.05,120.46,119.88,119.25
04/30,123.17,122.04,121.09,120.54,119.97,119.38
05/01,123.21,122.08,121.13,120.58,120.01,119.46
*5/02,123.21,122.09,121.17,120.59,120.04,119.47
*5/03,123.21,122.09,121.17,120.59,120.05,119.50
*5/04,123.21,122.09,121.17,120.63,120.05,119.50
*5/05,123.21,122.09,121.17,120.63,120.05,119.50
*5/06,123.22,122.09,121.17,120.63,120.05,119.51
05/07,123.25,122.13,121.21,120.67,120.13,119.59
05/08,123.26,122.17,121.22,120.71,120.17,119.67
05/09,123.29,122.21,121.25,120.72,120.21,119.71
05/10,123.29,122.21,121.25,120.75,120.25,119.75
*5/11,123.30,122.21,121.26,120.75,120.25,119.76
05/12,123.33,122.25,121.29,120.76,120.26,119.80
05/13,123.34,122.25,121.30,120.79,120.30,119.83
05/14,123.34,122.26,121.30,120.80,120.30,119.84
05/15,123.38,122.28,121.33,120.83,120.34,119.88
*5/16,123.42,122.29,121.34,120.83,120.34,119.88
05/19,123.42,122.29,121.34,120.83,120.34,119.88
05/22,123.42,122.30,121.34,120.84,120.34,119.88
05/25,123.42,122.30,121.34,120.84,120.34,119.88
05/28,123.42,122.30,121.34,120.84,120.34,119.88
